Plot 1 FLIR USB Video,,,,,
,,,,,
,,,,Sp1.Value,Sp2.Value
Emissivity,,,,0.9499999881,0.9499999881
Distance,,,,1,1
Reflected temperature,,,,23.9999939,23.9999939
Location X,,,,19,104
Location Y,,,,74,120
Size X,,,,,
Size Y,,,,,
Surface (pixels),,,,,
,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value
4/24/2018,3:23:06 PM,297,22.163,28.36273384,31.18240929
4/24/2018,3:23:06 PM,567,22.433,28.27768898,31.18240929
4/24/2018,3:23:06 PM,837,22.703,28.28984261,31.14683533
4/24/2018,3:23:07 PM,378,23.244,28.21690559,31.12311554
4/24/2018,3:23:07 PM,648,23.514,28.25337982,31.15869522
4/24/2018,3:23:07 PM,918,23.784,28.19258118,31.13497543
4/24/2018,3:23:08 PM,188,24.054,28.22906494,31.12311554
4/24/2018,3:23:08 PM,459,24.325,28.22906494,31.12311554
4/24/2018,3:23:08 PM,729,24.595,28.21690559,31.0756588
4/24/2018,3:23:08 PM,999,24.865,28.30199432,31.09938812
4/24/2018,3:23:09 PM,540,25.406,28.27768898,31.14683533
4/24/2018,3:23:09 PM,810,25.676,28.28984261,31.18240929
4/24/2018,3:23:10 PM,80,25.946,28.25337982,31.13497543
4/24/2018,3:23:10 PM,351,26.217,28.30199432,31.18240929
4/24/2018,3:23:10 PM,621,26.487,28.27768898,31.17055321
4/24/2018,3:23:10 PM,891,26.757,28.22906494,31.14683533
4/24/2018,3:23:11 PM,161,27.027,28.25337982,31.12311554
4/24/2018,3:23:11 PM,702,27.568,28.19258118,31.08752441
4/24/2018,3:23:11 PM,972,27.838,28.20474434,31.05192184
4/24/2018,3:23:12 PM,243,28.109,28.19258118,31.06379128
4/24/2018,3:23:12 PM,513,28.379,28.18041801,31.0756588
4/24/2018,3:23:12 PM,783,28.649,28.18041801,31.02818108
4/24/2018,3:23:13 PM,53,28.919,28.13175392,31.00443649
4/24/2018,3:23:13 PM,324,29.19,28.18041801,31.02818108
4/24/2018,3:23:13 PM,594,29.46,28.15608788,31.01630974
4/24/2018,3:23:14 PM,134,30,28.08306694,31.0756588
4/24/2018,3:23:14 PM,405,30.271,28.10741234,31.01630974
4/24/2018,3:23:14 PM,675,30.541,28.05871582,31.05192184
4/24/2018,3:23:14 PM,945,30.811,28.1439209,31.06379128
4/24/2018,3:23:15 PM,215,31.081,28.19258118,31.05192184
4/24/2018,3:23:15 PM,756,31.622,28.20474434,31.09938812
4/24/2018,3:23:16 PM,26,31.892,28.22906494,31.08752441
4/24/2018,3:23:16 PM,297,32.163,28.22906494,31.11125183
4/24/2018,3:23:16 PM,567,32.433,28.24122238,31.11125183
4/24/2018,3:23:16 PM,837,32.703,28.1439209,31.09938812
4/24/2018,3:23:17 PM,107,32.973,28.21690559,31.13497543
4/24/2018,3:23:17 PM,378,33.244,28.20474434,31.15869522
4/24/2018,3:23:17 PM,918,33.784,28.20474434,31.0756588
4/24/2018,3:23:18 PM,188,34.054,28.11958313,31.09938812
4/24/2018,3:23:18 PM,459,34.325,28.13175392,31.05192184
4/24/2018,3:23:18 PM,729,34.595,28.18041801,31.09938812
4/24/2018,3:23:18 PM,999,34.865,28.16825485,31.05192184
4/24/2018,3:23:19 PM,270,35.136,28.16825485,31.01630974
4/24/2018,3:23:19 PM,540,35.406,28.11958313,30.98068619
4/24/2018,3:23:20 PM,80,35.946,28.03436089,30.99256325
4/24/2018,3:23:20 PM,351,36.217,28.1439209,31.02818108
4/24/2018,3:23:20 PM,621,36.487,28.02218056,30.96881104
4/24/2018,3:23:20 PM,891,36.757,28.02218056,30.98068619
4/24/2018,3:23:21 PM,161,37.027,28.00999832,30.98068619
4/24/2018,3:23:21 PM,432,37.298,28.05871582,31.02818108
4/24/2018,3:23:21 PM,972,37.838,28.11958313,31.04005241
4/24/2018,3:23:22 PM,243,38.109,28.11958313,31.04005241
4/24/2018,3:23:22 PM,513,38.379,28.11958313,31.02818108
4/24/2018,3:23:22 PM,783,38.649,28.20474434,31.0756588
4/24/2018,3:23:23 PM,53,38.919,28.11958313,31.01630974
4/24/2018,3:23:23 PM,324,39.19,28.09523964,31.02818108
4/24/2018,3:23:23 PM,594,39.46,28.15608788,31.06379128
4/24/2018,3:23:24 PM,134,40,28.10741234,31.06379128
4/24/2018,3:23:24 PM,405,40.271,28.04653931,30.96881104
4/24/2018,3:23:24 PM,675,40.541,28.09523964,31.02818108
4/24/2018,3:23:24 PM,945,40.811,28.11958313,31.04005241
4/24/2018,3:23:25 PM,215,41.081,28.1439209,31.06379128
4/24/2018,3:23:25 PM,756,41.622,28.10741234,31.06379128
4/24/2018,3:23:26 PM,26,41.892,28.10741234,31.04005241
4/24/2018,3:23:26 PM,297,42.163,28.1439209,31.02818108
4/24/2018,3:23:26 PM,567,42.433,28.1439209,31.00443649
4/24/2018,3:23:26 PM,837,42.703,28.13175392,31.06379128
4/24/2018,3:23:27 PM,107,42.973,28.09523964,31.01630974
4/24/2018,3:23:27 PM,378,43.244,28.13175392,31.08752441
4/24/2018,3:23:27 PM,918,43.784,28.09523964,31.05192184
4/24/2018,3:23:28 PM,188,44.054,28.18041801,31.09938812
4/24/2018,3:23:28 PM,459,44.325,28.19258118,31.06379128
4/24/2018,3:23:28 PM,729,44.595,28.07089233,31.04005241
4/24/2018,3:23:28 PM,999,44.865,28.15608788,31.01630974
4/24/2018,3:23:29 PM,270,45.136,28.08306694,31.01630974
4/24/2018,3:23:29 PM,810,45.676,28.1439209,31.08752441
4/24/2018,3:23:30 PM,80,45.946,28.15608788,31.0756588
4/24/2018,3:23:30 PM,351,46.217,28.19258118,31.09938812
4/24/2018,3:23:30 PM,621,46.487,28.25337982,31.17055321
4/24/2018,3:23:30 PM,891,46.757,28.11958313,31.0756588
4/24/2018,3:23:31 PM,161,47.027,28.16825485,31.13497543
4/24/2018,3:23:31 PM,432,47.298,28.15608788,31.08752441
4/24/2018,3:23:31 PM,972,47.838,28.21690559,31.17055321
4/24/2018,3:23:32 PM,243,48.109,28.21690559,31.14683533
4/24/2018,3:23:32 PM,513,48.379,28.24122238,31.2179718
4/24/2018,3:23:32 PM,783,48.649,28.25337982,31.20611954
4/24/2018,3:23:32 PM,783,48.649,28.25337982,31.20611954
4/24/2018,3:23:32 PM,783,48.649,28.25337982,31.20611954
4/24/2018,3:24:18 PM,459,94.325,27.85152626,30.88563919
4/24/2018,3:24:18 PM,729,94.595,27.81492424,30.84997749
4/24/2018,3:24:18 PM,999,94.865,27.77831078,30.80241013
4/24/2018,3:24:19 PM,540,95.406,27.80272102,30.75482368
4/24/2018,3:24:19 PM,810,95.676,27.72947693,30.76672363
4/24/2018,3:24:20 PM,80,95.946,27.83932686,30.81430435
4/24/2018,3:24:20 PM,351,96.217,27.83932686,30.81430435
4/24/2018,3:24:20 PM,621,96.487,27.77831078,30.81430435
4/24/2018,3:24:20 PM,891,96.757,27.74168777,30.80241013
4/24/2018,3:24:21 PM,161,97.027,27.83932686,30.81430435
4/24/2018,3:24:21 PM,432,97.298,27.86372375,30.89752388
4/24/2018,3:24:21 PM,972,97.838,27.81492424,30.84997749
4/24/2018,3:24:22 PM,243,98.109,27.86372375,30.83808708
4/24/2018,3:24:22 PM,513,98.379,27.79051781,30.80241013
4/24/2018,3:24:22 PM,783,98.649,27.87592125,30.861866
4/24/2018,3:24:23 PM,53,98.919,27.96126175,30.90940857
4/24/2018,3:24:23 PM,324,99.19,27.94907379,30.90940857
4/24/2018,3:24:23 PM,864,99.73,27.96126175,30.90940857
4/24/2018,3:24:24 PM,134,100,27.93688393,30.92129135
4/24/2018,3:24:24 PM,405,100.271,27.91250229,30.92129135
4/24/2018,3:24:24 PM,675,100.541,27.81492424,30.7905159
4/24/2018,3:24:24 PM,945,100.811,27.85152626,30.83808708
4/24/2018,3:24:25 PM,215,101.081,27.90031052,30.87375259
4/24/2018,3:24:25 PM,756,101.622,27.87592125,30.81430435
4/24/2018,3:24:26 PM,26,101.892,27.88811684,30.861866
4/24/2018,3:24:26 PM,297,102.163,27.91250229,30.83808708
4/24/2018,3:24:26 PM,567,102.433,27.90031052,30.861866
4/24/2018,3:24:26 PM,837,102.703,27.90031052,30.82619667
4/24/2018,3:24:27 PM,107,102.973,27.88811684,30.80241013
4/24/2018,3:24:27 PM,378,103.244,27.86372375,30.77861977
4/24/2018,3:24:27 PM,648,103.514,27.86372375,30.83808708
4/24/2018,3:24:28 PM,188,104.054,27.90031052,30.83808708
4/24/2018,3:24:28 PM,459,104.325,27.91250229,30.83808708
4/24/2018,3:24:28 PM,729,104.595,27.88811684,30.82619667
4/24/2018,3:24:28 PM,999,104.865,27.85152626,30.80241013
4/24/2018,3:24:29 PM,270,105.136,27.87592125,30.7905159
4/24/2018,3:24:29 PM,540,105.406,27.80272102,30.76672363
4/24/2018,3:24:29 PM,810,105.676,27.77831078,30.7905159
4/24/2018,3:24:30 PM,80,105.946,27.68062019,30.70722008
4/24/2018,3:24:30 PM,621,106.487,27.75389671,30.74292564
4/24/2018,3:24:30 PM,891,106.757,27.77831078,30.67150307
4/24/2018,3:24:31 PM,161,107.027,27.80272102,30.71912193
4/24/2018,3:24:31 PM,432,107.298,27.81492424,30.73102379
4/24/2018,3:24:31 PM,702,107.568,27.76610374,30.74292564
4/24/2018,3:24:31 PM,972,107.838,27.71726418,30.70722008
4/24/2018,3:24:32 PM,243,108.109,27.74168777,30.71912193
4/24/2018,3:24:32 PM,513,108.379,27.72947693,30.67150307
4/24/2018,3:24:33 PM,53,108.919,27.82712746,30.74292564
4/24/2018,3:24:33 PM,324,109.19,27.76610374,30.65959549
4/24/2018,3:24:33 PM,594,109.46,27.72947693,30.67150307
4/24/2018,3:24:33 PM,864,109.73,27.68062019,30.647686
4/24/2018,3:24:34 PM,134,110,27.74168777,30.69531441
4/24/2018,3:24:34 PM,405,110.271,27.79051781,30.74292564
4/24/2018,3:24:34 PM,675,110.541,27.74168777,30.69531441
4/24/2018,3:24:34 PM,945,110.811,27.75389671,30.69531441
4/24/2018,3:24:35 PM,486,111.352,27.79051781,30.69531441
4/24/2018,3:24:35 PM,756,111.622,27.82712746,30.69531441
4/24/2018,3:24:36 PM,26,111.892,27.85152626,30.70722008
4/24/2018,3:24:36 PM,297,112.163,27.80272102,30.70722008
4/24/2018,3:24:36 PM,567,112.433,27.80272102,30.73102379
4/24/2018,3:24:37 PM,107,112.973,27.75389671,30.647686
4/24/2018,3:24:37 PM,378,113.244,27.79051781,30.61195183
4/24/2018,3:24:37 PM,648,113.514,27.81492424,30.73102379
4/24/2018,3:24:37 PM,918,113.784,27.76610374,30.69531441
4/24/2018,3:24:38 PM,188,114.054,27.80272102,30.70722008
4/24/2018,3:24:38 PM,459,114.325,27.77831078,30.69531441
4/24/2018,3:24:38 PM,729,114.595,27.86372375,30.77861977
4/24/2018,3:24:38 PM,999,114.865,27.76610374,30.71912193
4/24/2018,3:24:39 PM,540,115.406,27.79051781,30.70722008
4/24/2018,3:24:39 PM,810,115.676,27.80272102,30.74292564
4/24/2018,3:24:40 PM,80,115.946,27.81492424,30.7905159
4/24/2018,3:24:40 PM,351,116.217,27.83932686,30.77861977
4/24/2018,3:24:40 PM,621,116.487,27.80272102,30.74292564
4/24/2018,3:24:41 PM,161,117.027,27.85152626,30.74292564
4/24/2018,3:24:41 PM,432,117.298,27.76610374,30.65959549
4/24/2018,3:24:41 PM,702,117.568,27.74168777,30.68341064
4/24/2018,3:24:41 PM,972,117.838,27.79051781,30.69531441
4/24/2018,3:24:42 PM,243,118.109,27.80272102,30.71912193
4/24/2018,3:24:42 PM,513,118.379,27.85152626,30.73102379
4/24/2018,3:24:43 PM,53,118.919,27.82712746,30.77861977
4/24/2018,3:24:43 PM,324,119.19,27.86372375,30.7905159
4/24/2018,3:24:43 PM,594,119.46,27.88811684,30.80241013
4/24/2018,3:24:43 PM,864,119.73,27.71726418,30.647686
4/24/2018,3:24:44 PM,134,120,27.74168777,30.65959549
4/24/2018,3:24:44 PM,405,120.271,27.74168777,30.69531441
4/24/2018,3:24:44 PM,675,120.541,27.76610374,30.73102379
4/24/2018,3:24:45 PM,215,121.081,27.79051781,30.74292564
4/24/2018,3:24:45 PM,486,121.352,27.75389671,30.70722008
4/24/2018,3:24:45 PM,756,121.622,27.75389671,30.73102379
4/24/2018,3:24:46 PM,26,121.892,27.77831078,30.71912193
4/24/2018,3:24:46 PM,297,122.163,27.77831078,30.69531441
4/24/2018,3:24:46 PM,567,122.433,27.77831078,30.70722008
4/24/2018,3:24:46 PM,837,122.703,27.72947693,30.65959549
4/24/2018,3:24:47 PM,107,122.973,27.86372375,30.75482368
4/24/2018,3:24:47 PM,648,123.514,27.81492424,30.74292564
4/24/2018,3:24:47 PM,918,123.784,27.79051781,30.77861977
4/24/2018,3:24:48 PM,188,124.054,27.87592125,30.83808708
4/24/2018,3:24:48 PM,459,124.325,27.77831078,30.76672363
4/24/2018,3:24:48 PM,999,124.865,27.82712746,30.76672363
4/24/2018,3:24:49 PM,270,125.136,27.80272102,30.77861977
4/24/2018,3:24:49 PM,540,125.406,27.82712746,30.76672363
4/24/2018,3:24:49 PM,810,125.676,27.82712746,30.7905159
4/24/2018,3:24:50 PM,80,125.946,27.86372375,30.80241013
4/24/2018,3:24:50 PM,351,126.217,27.76610374,30.80241013
4/24/2018,3:24:50 PM,621,126.487,27.87592125,30.75482368
4/24/2018,3:24:50 PM,891,126.757,27.90031052,30.82619667
4/24/2018,3:24:51 PM,432,127.298,27.86372375,30.80241013
4/24/2018,3:24:51 PM,702,127.568,27.92469406,30.861866
4/24/2018,3:24:51 PM,972,127.838,27.81492424,30.76672363
4/24/2018,3:24:52 PM,243,128.109,27.82712746,30.80241013
4/24/2018,3:24:52 PM,513,128.379,27.83932686,30.81430435
4/24/2018,3:24:53 PM,53,128.919,27.81492424,30.77861977
4/24/2018,3:24:53 PM,324,129.19,27.80272102,30.80241013
4/24/2018,3:24:53 PM,594,129.46,27.85152626,30.76672363
4/24/2018,3:24:53 PM,864,129.73,27.82712746,30.77861977
4/24/2018,3:24:54 PM,134,130,27.90031052,30.84997749
4/24/2018,3:24:54 PM,405,130.271,27.92469406,30.861866
4/24/2018,3:24:54 PM,675,130.541,27.85152626,30.82619667
4/24/2018,3:24:54 PM,945,130.811,27.88811684,30.81430435
4/24/2018,3:24:55 PM,215,131.081,27.90031052,30.83808708
4/24/2018,3:24:55 PM,756,131.622,27.87592125,30.83808708
4/24/2018,3:24:56 PM,26,131.892,27.90031052,30.861866
4/24/2018,3:24:56 PM,297,132.163,27.87592125,30.81430435
4/24/2018,3:24:56 PM,567,132.433,27.87592125,30.83808708
4/24/2018,3:24:56 PM,837,132.703,27.85152626,30.81430435
4/24/2018,3:24:57 PM,107,132.973,27.87592125,30.84997749
4/24/2018,3:24:57 PM,378,133.244,27.92469406,30.83808708
4/24/2018,3:24:57 PM,918,133.784,27.91250229,30.84997749
4/24/2018,3:24:58 PM,188,134.054,27.86372375,30.82619667
4/24/2018,3:24:58 PM,459,134.325,27.88811684,30.84997749
4/24/2018,3:24:58 PM,729,134.595,27.83932686,30.80241013
4/24/2018,3:24:58 PM,999,134.865,27.90031052,30.80241013
4/24/2018,3:24:59 PM,270,135.136,27.91250229,30.84997749
4/24/2018,3:24:59 PM,540,135.406,27.87592125,30.80241013
4/24/2018,3:25:00 PM,80,135.946,27.90031052,30.77861977
4/24/2018,3:25:00 PM,351,136.217,27.93688393,30.861866
4/24/2018,3:25:00 PM,621,136.487,27.92469406,30.83808708
4/24/2018,3:25:00 PM,891,136.757,27.91250229,30.88563919
4/24/2018,3:25:01 PM,161,137.027,27.88811684,30.82619667
4/24/2018,3:25:01 PM,432,137.298,27.88811684,30.81430435
4/24/2018,3:25:01 PM,702,137.568,27.92469406,30.88563919
4/24/2018,3:25:01 PM,972,137.838,27.91250229,30.93317223
4/24/2018,3:25:02 PM,513,138.379,27.90031052,30.95693207
4/24/2018,3:25:02 PM,783,138.649,27.88811684,30.95693207
4/24/2018,3:25:03 PM,53,138.919,27.92469406,31.00443649
4/24/2018,3:25:03 PM,324,139.19,27.92469406,31.02818108
4/24/2018,3:25:03 PM,594,139.46,28.00999832,31.12311554
4/24/2018,3:25:03 PM,864,139.73,28.03436089,31.17055321
4/24/2018,3:25:04 PM,405,140.271,28.11958313,31.22982407
4/24/2018,3:25:04 PM,675,140.541,28.13175392,31.24167442
4/24/2018,3:25:04 PM,945,140.811,28.16825485,31.27721786
4/24/2018,3:25:05 PM,215,141.081,28.22906494,31.34827614
4/24/2018,3:25:05 PM,486,141.352,28.22906494,31.38378906
4/24/2018,3:25:05 PM,756,141.622,28.22906494,31.36011505
4/24/2018,3:25:06 PM,297,142.163,28.26553535,31.45478249
4/24/2018,3:25:06 PM,567,142.433,28.28984261,31.43112183
4/24/2018,3:25:06 PM,837,142.703,28.37487793,31.5139122
4/24/2018,3:25:07 PM,107,142.973,28.39916229,31.59664345
4/24/2018,3:25:07 PM,648,143.514,28.42344093,31.66750908
4/24/2018,3:25:07 PM,918,143.784,28.49624825,31.71473122
4/24/2018,3:25:08 PM,188,144.054,28.49624825,31.71473122
4/24/2018,3:25:08 PM,459,144.325,28.47198486,31.73833466
4/24/2018,3:25:08 PM,729,144.595,28.65384102,31.8680687
4/24/2018,3:25:08 PM,999,144.865,28.58113289,31.85628128
4/24/2018,3:25:09 PM,270,145.136,28.71439743,31.91521072
4/24/2018,3:25:09 PM,810,145.676,28.70228767,31.9976635
4/24/2018,3:25:10 PM,80,145.946,28.77492142,32.09182739
4/24/2018,3:25:10 PM,351,146.217,28.88378525,32.15063858
4/24/2018,3:25:10 PM,621,146.487,28.93213654,32.24468231
4/24/2018,3:25:10 PM,891,146.757,28.89587402,32.19766998
4/24/2018,3:25:11 PM,161,147.027,29.00462532,32.26818085
4/24/2018,3:25:11 PM,702,147.568,29.05292702,32.33864975
4/24/2018,3:25:11 PM,972,147.838,29.01670265,32.39734268
4/24/2018,3:25:12 PM,243,148.109,29.00462532,32.37386703
4/24/2018,3:25:12 PM,513,148.379,29.07707024,32.46773529
4/24/2018,3:25:13 PM,53,148.919,29.11327553,32.50291443
4/24/2018,3:25:13 PM,324,149.19,29.14946938,32.50291443
4/24/2018,3:25:13 PM,594,149.46,29.1374054,32.573246
4/24/2018,3:25:13 PM,864,149.73,29.22182274,32.64353561
4/24/2018,3:25:14 PM,405,150.271,29.22182274,32.69037247
4/24/2018,3:25:14 PM,675,150.541,29.23387718,32.69037247
4/24/2018,3:25:14 PM,945,150.811,29.37843704,32.78399277
4/24/2018,3:25:15 PM,215,151.081,29.41454887,32.8307724
4/24/2018,3:25:15 PM,486,151.352,29.4867382,32.8307724
4/24/2018,3:25:15 PM,756,151.622,29.42658424,32.91259766
4/24/2018,3:25:16 PM,26,151.892,29.39047623,32.84246445
4/24/2018,3:25:16 PM,567,152.433,29.42658424,32.93596649
4/24/2018,3:25:16 PM,837,152.703,29.4867382,32.94765091
4/24/2018,3:25:17 PM,107,152.973,29.55888367,33.02939606
4/24/2018,3:25:17 PM,378,153.244,29.67902756,33.15773773
4/24/2018,3:25:17 PM,648,153.514,29.66701889,33.12274933
4/24/2018,3:25:17 PM,918,153.784,29.69103622,33.15773773
4/24/2018,3:25:18 PM,188,154.054,29.67902756,33.15773773
4/24/2018,3:25:18 PM,459,154.325,29.69103622,33.19271851
4/24/2018,3:25:18 PM,999,154.865,29.78705215,33.25099564
4/24/2018,3:25:19 PM,270,155.136,29.79904938,33.27429962
4/24/2018,3:25:19 PM,540,155.406,29.75105476,33.33253479
4/24/2018,3:25:19 PM,810,155.676,29.77505493,33.41402054
4/24/2018,3:25:20 PM,80,155.946,29.8590126,33.4023819
4/24/2018,3:25:20 PM,351,156.217,29.8230381,33.41402054
4/24/2018,3:25:20 PM,621,156.487,29.90696335,33.47219086
4/24/2018,3:25:21 PM,161,157.027,29.8590126,33.51870346
4/24/2018,3:25:21 PM,432,157.298,29.8710022,33.48381805
4/24/2018,3:25:21 PM,702,157.568,29.8710022,33.51870346
4/24/2018,3:25:21 PM,972,157.838,29.96687126,33.55358124
4/24/2018,3:25:21 PM,972,157.838,29.96687126,33.55358124
4/24/2018,3:25:22 PM,243,158.109,29.99082756,33.58844376
4/24/2018,3:25:22 PM,513,158.379,30.03872299,33.64653015
4/24/2018,3:25:23 PM,53,158.919,29.93092918,33.57682419
4/24/2018,3:25:23 PM,324,159.19,29.90696335,33.6349144
4/24/2018,3:25:23 PM,594,159.46,29.90696335,33.6349144
4/24/2018,3:25:23 PM,864,159.73,30.03872299,33.68136978
4/24/2018,3:25:24 PM,134,160,30.06266212,33.75101471
4/24/2018,3:25:24 PM,405,160.271,30.08659744,33.84381485
4/24/2018,3:25:24 PM,675,160.541,30.12249184,33.78582382
4/24/2018,3:25:25 PM,215,161.081,30.17033386,33.87859344
4/24/2018,3:25:25 PM,486,161.352,30.13445473,33.93654251
4/24/2018,3:25:25 PM,756,161.622,30.21815681,33.94812775
4/24/2018,3:25:26 PM,26,161.892,30.1942482,33.92495346
4/24/2018,3:25:26 PM,297,162.163,30.26595879,34.05235291
4/24/2018,3:25:26 PM,567,162.433,30.26595879,33.99446106
4/24/2018,3:25:27 PM,107,162.973,30.3853817,34.08707428
4/24/2018,3:25:27 PM,378,163.244,30.34956741,34.0639267
4/24/2018,3:25:27 PM,648,163.514,30.34956741,34.01762009
4/24/2018,3:25:27 PM,918,163.784,30.33762741,34.05235291
4/24/2018,3:25:28 PM,188,164.054,30.33762741,34.11021423
4/24/2018,3:25:28 PM,729,164.595,30.3853817,34.14492035
4/24/2018,3:25:28 PM,999,164.865,30.27790833,34.11021423
4/24/2018,3:25:29 PM,270,165.136,30.30179977,34.12178421
4/24/2018,3:25:29 PM,540,165.406,30.3853817,34.21429825
4/24/2018,3:25:29 PM,810,165.676,30.3256855,34.26053238
4/24/2018,3:25:30 PM,80,165.946,30.3853817,34.2258606
4/24/2018,3:25:30 PM,351,166.217,30.40925217,34.16805267
4/24/2018,3:25:30 PM,621,166.487,30.40925217,34.2720871
4/24/2018,3:25:31 PM,161,167.027,30.45697784,34.30674362
4/24/2018,3:25:31 PM,432,167.298,30.51660728,34.32984543
4/24/2018,3:25:31 PM,702,167.568,30.50468445,34.37603378
4/24/2018,3:25:31 PM,972,167.838,30.50468445,34.37603378
4/24/2018,3:25:32 PM,513,168.379,30.57620621,34.42220306
4/24/2018,3:25:32 PM,783,168.649,30.54045105,34.43374252
4/24/2018,3:25:33 PM,53,168.919,30.63577652,34.42220306
4/24/2018,3:25:33 PM,324,169.19,30.57620621,34.39912033
4/24/2018,3:25:33 PM,594,169.46,30.67150307,34.52602005
